,games_played,icetime,onIce_corsiPercentage,offIce_corsiPercentage,timeOnBench,on_off_corsi_diff,OnIce_F_goals_per60,OnIce_A_goals_per60,I_F_dZoneGiveaways_per60,I_F_giveaways_per60,average_TOI,I_F_hits_per60,I_F_takeaways_per60,I_F_points_per60,shotsBlockedByPlayer_per60,I_F_oZoneShiftStarts_per60,I_F_dZoneShiftStarts_per60,I_F_neutralZoneShiftStarts_per60,I_F_flyShiftStarts_per60,I_F_primaryAssists_per60,I_F_secondaryAssists_per60,I_F_goals_per60,average_corsi_influence,total_out_influence
games_played,1.0,0.9957658124183177,0.301717049628383,0.06547774224531407,0.9994100340058145,0.2650278840100821,0.4863442534345609,0.06624828829575824,0.28900145342265376,0.2968964936245996,0.6459808407519886,-0.16012856151062196,0.24953299118446384,0.5299603248771477,0.010985455300183937,0.17201413706827962,0.21572137351628412,0.1744872000386456,-0.5167864515803269,0.5280456287549706,0.5324209194590086,0.5275066290421391,0.15447269215468948,0.3552332340861459
icetime,0.9957658124183177,1.0,0.3274894211802094,0.05547447739732044,0.9927172187036722,0.2994341206560134,0.5164992203643405,0.0841356349812475,0.2923535144694491,0.31434793845857767,0.705838905326109,-0.20180941365299956,0.27265010683261687,0.5584260402627192,-0.008659015223175862,0.186620427105196,0.20161823338013152,0.16706730820236787,-0.5549890340462761,0.5531871856374349,0.5523432060943236,0.5473415287476987,0.17974538946443963,0.3820963678770037
onIce_corsiPercentage,0.301717049628383,0.3274894211802094,1.0,0.3417453511667385,0.2928110619446377,0.7772605926956196,0.39212498688619957,-0.07291850499448435,0.07807249212947177,0.22785134559503056,0.42386028531623543,-0.24925072842379142,0.2856053658765841,0.3856590527904832,-0.3059303115611833,0.2864093901879262,-0.13678014383620293,0.0028259805593135604,-0.29605793150447013,0.3607858057267674,0.25972032590607874,0.29755740259116237,0.6033265794720192,0.6499648091521641
offIce_corsiPercentage,0.06547774224531407,0.05547447739732044,0.3417453511667385,1.0,0.06806532933180648,-0.2178687599060605,-0.043395730326764866,-0.19892408876286602,-0.12421888891666329,-0.059503423447947394,-0.04411622967422602,0.03615005327292015,-0.0008524965294057229,-0.047931471980768144,-0.06857502580279833,0.062211444796929014,-0.06359976600406964,0.005917271956949613,0.023902497753599553,-0.01715744895648223,-0.03105542390454986,-0.012720227682770867,0.13024761593974787,0.12027672401886684
timeOnBench,0.9994100340058145,0.9927172187036722,0.2928110619446377,0.06806532933180648,1.0,0.253309484591965,0.4749068165879066,0.061543854756257683,0.28720334910197987,0.29045311681180014,0.6264733517515269,-0.14730779929049317,0.24212042833767625,0.5184868555759152,0.017425554617042153,0.16463123029358046,0.2197161208847494,0.17415354668366753,-0.502424922660073,0.51846583164303,0.5241033483747278,0.5192412974007818,0.14445240763046371,0.34346116136982974
on_off_corsi_diff,0.2650278840100821,0.2994341206560134,0.7772605926956196,-0.2178687599060605,0.253309484591965,1.0,0.4441124912888882,0.03638462945748648,0.1420538738935346,0.2506558468177038,0.476620392979114,-0.3164712344903407,0.30205560099346107,0.44440804578331555,-0.2848819163488171,0.25505401481398754,-0.08694453756972936,0.020095411116685644,-0.3457157930661905,0.3754054352172778,0.30138255799348046,0.31835859750516177,0.5310220301907393,0.588830220915116
OnIce_F_goals_per60,0.4863442534345609,0.5164992203643405,0.39212498688619957,-0.043395730326764866,0.4749068165879066,0.4441124912888882,1.0,0.14495360289047934,0.24669714514088473,0.3309975116343421,0.5924354674804958,-0.30630113142486265,0.3256382171162198,0.8697656516049989,-0.11619378812112538,0.2171014143021074,-0.07479311220283648,0.004780814519970215,-0.3793422629414644,0.6530360847739601,0.5616316122428073,0.6816471632871328,0.280549936951875,0.37747073122041885
OnIce_A_goals_per60,0.06624828829575824,0.0841356349812475,-0.07291850499448435,-0.19892408876286602,0.061543854756257683,0.03638462945748648,0.14495360289047934,1.0,0.1241203693270752,0.17732846109067701,0.21201214535020863,-0.11750355220580008,0.11515874143468555,0.15375752037660784,-0.015884552883539144,0.024706094886586503,-0.05656314869783342,-0.08613461803852301,-0.0548139446004502,0.09202679636555028,0.12043951442289921,0.16634523002804583,-0.062159643730957864,-0.05408381230216514
I_F_dZoneGiveaways_per60,0.28900145342265376,0.2923535144694491,0.07807249212947177,-0.12421888891666329,0.28720334910197987,0.1420538738935346,0.24669714514088473,0.1241203693270752,1.0,0.7076898580778805,0.20337975337396913,-0.09969528693785007,0.22505268457576907,0.2628971196004576,0.04045579516520682,0.06302011480641964,-0.017872017472796847,-0.03270305664920589,-0.10271999353557762,0.2623971726660402,0.23392788365059033,0.2610140011278937,0.049155682899990484,0.10390121835646501
I_F_giveaways_per60,0.2968964936245996,0.31434793845857767,0.22785134559503056,-0.059503423447947394,0.29045311681180014,0.2506558468177038,0.3309975116343421,0.17732846109067701,0.7076898580778805,1.0,0.3421377715318123,-0.22482941763593187,0.29488384336601303,0.36067085341959926,-0.08537758038084246,0.14882139383366877,-0.11762949233227137,-0.08602608754625496,-0.18511508372135835,0.32898343159538346,0.2924569215470792,0.30303763007731854,0.16791023453488424,0.22222338147662593
average_TOI,0.6459808407519886,0.705838905326109,0.42386028531623543,-0.04411622967422602,0.6264733517515269,0.476620392979114,0.5924354674804958,0.21201214535020863,0.20337975337396913,0.3421377715318123,1.0,-0.4502127896321351,0.34584029510489234,0.6003962044255989,-0.1632888795473582,0.2682642345448581,0.0422274570616307,0.07522568466662923,-0.6936136741941741,0.5429705907409612,0.514180638176676,0.5067680186031569,0.22369909294701362,0.3467622216421298
I_F_hits_per60,-0.16012856151062196,-0.20180941365299956,-0.24925072842379142,0.03615005327292015,-0.14730779929049317,-0.3164712344903407,-0.30630113142486265,-0.11750355220580008,-0.09969528693785007,-0.22482941763593187,-0.4502127896321351,1.0,-0.31738879067795456,-0.3133908051484815,0.2248107635520589,-0.2249625803001354,0.12075657844248339,0.08620617063477155,0.3576002417493064,-0.29180735566748955,-0.22767915902409705,-0.19483654386276406,-0.1291632300492327,-0.1758069902365927
I_F_takeaways_per60,0.24953299118446384,0.27265010683261687,0.2856053658765841,-0.0008524965294057229,0.24212042833767625,0.30205560099346107,0.3256382171162198,0.11515874143468555,0.22505268457576907,0.29488384336601303,0.34584029510489234,-0.31738879067795456,1.0,0.35581861499501855,-0.02100063959674635,0.1370369618907008,-0.036972181002930336,-0.05055335434345671,-0.20867703522114123,0.3123723949736002,0.2761333068060633,0.2735481516899418,0.2833185854073684,0.302473058355785
I_F_points_per60,0.5299603248771477,0.5584260402627192,0.3856590527904832,-0.047931471980768144,0.5184868555759152,0.44440804578331555,0.8697656516049989,0.15375752037660784,0.2628971196004576,0.36067085341959926,0.6003962044255989,-0.3133908051484815,0.35581861499501855,1.0,-0.13617270485819413,0.24611908741428393,-0.05103803279666651,0.030048117080447845,-0.407702486418975,0.751239425472219,0.6416816635077074,0.7530011548248516,0.28434197829664065,0.378197432524444
shotsBlockedByPlayer_per60,0.010985455300183937,-0.008659015223175862,-0.3059303115611833,-0.06857502580279833,0.017425554617042153,-0.2848819163488171,-0.11619378812112538,-0.015884552883539144,0.04045579516520682,-0.08537758038084246,-0.1632888795473582,0.2248107635520589,-0.02100063959674635,-0.13617270485819413,1.0,-0.16825009190875587,0.22479966005688065,0.06959555453444427,0.08950015556006612,-0.11160822910808635,0.005360929339958095,-0.10035823282387601,-0.2140984891607949,-0.2093434214520601
I_F_oZoneShiftStarts_per60,0.17201413706827962,0.186620427105196,0.2864093901879262,0.062211444796929014,0.16463123029358046,0.25505401481398754,0.2171014143021074,0.024706094886586503,0.06302011480641964,0.14882139383366877,0.2682642345448581,-0.2249625803001354,0.1370369618907008,0.24611908741428393,-0.16825009190875587,1.0,-0.18937527255783265,0.07466821094205593,-0.3505005748213334,0.21071519221563348,0.16625263102851404,0.18320487235819302,0.1693147623569376,0.2224936467139947
I_F_dZoneShiftStarts_per60,0.21572137351628412,0.20161823338013152,-0.13678014383620293,-0.06359976600406964,0.2197161208847494,-0.08694453756972936,-0.07479311220283648,-0.05656314869783342,-0.017872017472796847,-0.11762949233227137,0.0422274570616307,0.12075657844248339,-0.036972181002930336,-0.05103803279666651,0.22479966005688065,-0.18937527255783265,1.0,0.2767032517934607,-0.23211094325094622,-0.0394494883555996,0.06582541217382291,-0.04224970496129494,-0.12829497564059497,-0.08703635150024948
I_F_neutralZoneShiftStarts_per60,0.1744872000386456,0.16706730820236787,0.0028259805593135604,0.005917271956949613,0.17415354668366753,0.020095411116685644,0.004780814519970215,-0.08613461803852301,-0.03270305664920589,-0.08602608754625496,0.07522568466662923,0.08620617063477155,-0.05055335434345671,0.030048117080447845,0.06959555453444427,0.07466821094205593,0.2767032517934607,1.0,-0.28853873714617345,0.024341356031487762,0.07740974462185907,0.03801973597442534,0.08343501719765539,0.10252223788223715
I_F_flyShiftStarts_per60,-0.5167864515803269,-0.5549890340462761,-0.29605793150447013,0.023902497753599553,-0.502424922660073,-0.3457157930661905,-0.3793422629414644,-0.0548139446004502,-0.10271999353557762,-0.18511508372135835,-0.6936136741941741,0.3576002417493064,-0.20867703522114123,-0.407702486418975,0.08950015556006612,-0.3505005748213334,-0.23211094325094622,-0.28853873714617345,1.0,-0.4036661054802691,-0.3590740751419846,-0.3312589429175861,-0.15777475309306038,-0.25784351626472507
I_F_primaryAssists_per60,0.5280456287549706,0.5531871856374349,0.3607858057267674,-0.01715744895648223,0.51846583164303,0.3754054352172778,0.6530360847739601,0.09202679636555028,0.2623971726660402,0.32898343159538346,0.5429705907409612,-0.29180735566748955,0.3123723949736002,0.751239425472219,-0.11160822910808635,0.21071519221563348,-0.0394494883555996,0.024341356031487762,-0.4036661054802691,1.0,0.4399651633774482,0.4321964208655738,0.21570532135952997,0.28473328392660613
I_F_secondaryAssists_per60,0.5324209194590086,0.5523432060943236,0.25972032590607874,-0.03105542390454986,0.5241033483747278,0.30138255799348046,0.5616316122428073,0.12043951442289921,0.23392788365059033,0.2924569215470792,0.514180638176676,-0.22767915902409705,0.2761333068060633,0.6416816635077074,0.005360929339958095,0.16625263102851404,0.06582541217382291,0.07740974462185907,-0.3590740751419846,0.4399651633774482,1.0,0.3557172214431467,0.25425166614783234,0.3378846164937091
I_F_goals_per60,0.5275066290421391,0.5473415287476987,0.29755740259116237,-0.012720227682770867,0.5192412974007818,0.31835859750516177,0.6816471632871328,0.16634523002804583,0.2610140011278937,0.30303763007731854,0.5067680186031569,-0.19483654386276406,0.2735481516899418,0.7530011548248516,-0.10035823282387601,0.18320487235819302,-0.04224970496129494,0.03801973597442534,-0.3312589429175861,0.4321964208655738,0.3557172214431467,1.0,0.216633523912626,0.2875948865970326
average_corsi_influence,0.15447269215468948,0.17974538946443963,0.6033265794720192,0.13024761593974787,0.14445240763046371,0.5310220301907393,0.280549936951875,-0.062159643730957864,0.049155682899990484,0.16791023453488424,0.22369909294701362,-0.1291632300492327,0.2833185854073684,0.28434197829664065,-0.2140984891607949,0.1693147623569376,-0.12829497564059497,0.08343501719765539,-0.15777475309306038,0.21570532135952997,0.25425166614783234,0.216633523912626,1.0,0.9078402984614061
total_out_influence,0.3552332340861459,0.3820963678770037,0.6499648091521641,0.12027672401886684,0.34346116136982974,0.588830220915116,0.37747073122041885,-0.05408381230216514,0.10390121835646501,0.22222338147662593,0.3467622216421298,-0.1758069902365927,0.302473058355785,0.378197432524444,-0.2093434214520601,0.2224936467139947,-0.08703635150024948,0.10252223788223715,-0.25784351626472507,0.28473328392660613,0.3378846164937091,0.2875948865970326,0.9078402984614061,1.0
